Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,distance (clean),mass (clean),radius (clean),star mass (clean),star temp (clean),Distance_Radius_Interaction,star_mass_bin
Kepler-804b,0.639,0.173,14.37,0.098,transit,Not Specified,2110,1.01,5817,[63],2110,0.639,0.173,1.01,5817,365.03,"(-0.00354, 5.905]"
Kepler-804c,0.639,0.102,9.65,0.098,transit,Not Specified,2110,1.01,5817,[63],2110,0.639,0.102,1.01,5817,215.22,"(-0.00354, 5.905]"
Kepler-805b,0.639,0.258,30.86,0.098,transit,Not Specified,2140,1.19,6112,[63],2140,0.639,0.258,1.19,6112,552.12,"(-0.00354, 5.905]"
Kepler-806b,0.639,0.102,8.09,0.098,transit,Not Specified,850,0.99,5770,[63],850,0.639,0.102,0.99,5770,86.7,"(-0.00354, 5.905]"
Kepler-807b,0.639,0.93,117.93,0.098,transit,Not Specified,4280,1.04,5965,[63],4280,0.639,0.93,1.04,5965,3980.4,"(-0.00354, 5.905]"
Kepler-808b,0.639,0.13,0.63,0.098,transit,Not Specified,1050,0.76,4653,[63],1050,0.639,0.13,0.76,4653,136.5,"(-0.00354, 5.905]"
Kepler-809b,0.639,0.269,55.64,0.098,transit,Not Specified,3040,0.99,5734,[63],3040,0.639,0.269,0.99,5734,817.76,"(-0.00354, 5.905]"
Kepler-810b,0.639,0.172,4.6,0.098,transit,Not Specified,5070,1.03,5803,[63],5070,0.639,0.172,1.03,5803,872.04,"(-0.00354, 5.905]"
Kepler-811b,0.639,0.241,23.58,0.098,transit,Not Specified,2760,1.01,5747,[63],2760,0.639,0.241,1.01,5747,665.16,"(-0.00354, 5.905]"
Kepler-812b,0.639,0.317,10.12,0.098,transit,Not Specified,4830,1.45,6761,[63],4830,0.639,0.317,1.45,6761,1531.11,"(-0.00354, 5.905]"
Kepler-813b,0.639,0.191,19.13,0.098,transit,Not Specified,2700,0.95,5743,[63],2700,0.639,0.191,0.95,5743,515.7,"(-0.00354, 5.905]"
Kepler-814b,0.639,0.189,6.15,0.098,transit,Not Specified,4330,1.15,6162,[63],4330,0.639,0.189,1.15,6162,818.37,"(-0.00354, 5.905]"
Kepler-815b,0.639,0.367,8.58,0.098,transit,Not Specified,3910,1.25,5028,[63],3910,0.639,0.367,1.25,5028,1434.97,"(-0.00354, 5.905]"
Kepler-816b,0.639,0.914,10.51,0.098,transit,Not Specified,3450,0.9,5286,[63],3450,0.639,0.914,0.9,5286,3153.3,"(-0.00354, 5.905]"
Kepler-817b,0.639,0.806,3.99,0.098,transit,Not Specified,4570,1.03,5861,[63],4570,0.639,0.806,1.03,5861,3683.42,"(-0.00354, 5.905]"
Kepler-818b,0.639,0.456,10.04,0.098,transit,Not Specified,3150,0.94,5638,[63],3150,0.639,0.456,0.94,5638,1436.4,"(-0.00354, 5.905]"
Kepler-819b,0.639,0.246,33.2,0.098,transit,Not Specified,2350,0.86,5279,[63],2350,0.639,0.246,0.86,5279,578.1,"(-0.00354, 5.905]"
Kepler-820b,0.639,0.543,127.83,0.098,transit,Not Specified,3230,1.23,6260,[63],3230,0.639,0.543,1.23,6260,1753.89,"(-0.00354, 5.905]"
Kepler-821b,0.639,0.117,1.92,0.098,transit,Not Specified,2020,0.84,5191,[63],2020,0.639,0.117,0.84,5191,236.34,"(-0.00354, 5.905]"
Kepler-822b,0.639,0.158,3.22,0.098,transit,Not Specified,3120,1.06,5928,[63],3120,0.639,0.158,1.06,5928,492.96,"(-0.00354, 5.905]"
Kepler-823b,0.639,0.14,4.17,0.098,transit,Not Specified,2920,0.98,5643,[63],2920,0.639,0.14,0.98,5643,408.8,"(-0.00354, 5.905]"
Kepler-824b,0.639,0.167,4.51,0.098,transit,Not Specified,4410,1.15,6035,[63],4410,0.639,0.167,1.15,6035,736.47,"(-0.00354, 5.905]"
Kepler-825b,0.639,0.136,3.77,0.098,transit,Not Specified,2700,1.03,5976,[63],2700,0.639,0.136,1.03,5976,367.2,"(-0.00354, 5.905]"
Kepler-825c,0.639,0.164,8.18,0.098,transit,Not Specified,2700,1.03,5976,[63],2700,0.639,0.164,1.03,5976,442.8,"(-0.00354, 5.905]"
Kepler-826b,0.639,0.112,4.49,0.098,transit,Not Specified,2120,1.05,6079,[63],2120,0.639,0.112,1.05,6079,237.44,"(-0.00354, 5.905]"
Kepler-827b,0.639,0.502,51.93,0.098,transit,Not Specified,4410,0.93,5602,[63],4410,0.639,0.502,0.93,5602,2213.82,"(-0.00354, 5.905]"
Kepler-828b,0.639,0.135,0.57,0.098,transit,Not Specified,2040,0.81,5039,[63],2040,0.639,0.135,0.81,5039,275.4,"(-0.00354, 5.905]"
Kepler-829b,0.639,0.188,6.88,0.098,transit,Not Specified,3110,0.98,5698,[63],3110,0.639,0.188,0.98,5698,584.68,"(-0.00354, 5.905]"
Kepler-830b,0.639,0.152,11.3,0.098,transit,Not Specified,3660,1.07,6037,[63],3660,0.639,0.152,1.07,6037,556.32,"(-0.00354, 5.905]"
Kepler-831b,0.639,0.113,5.62,0.098,transit,Not Specified,1880,0.99,5732,[63],1880,0.639,0.113,0.99,5732,212.44,"(-0.00354, 5.905]"
Kepler-832b,0.639,0.184,7.14,0.098,transit,Not Specified,4390,0.92,5596,[63],4390,0.639,0.184,0.92,5596,807.76,"(-0.00354, 5.905]"
Kepler-833b,0.639,0.18,18.75,0.098,transit,Not Specified,1370,0.64,4339,[63],1370,0.639,0.18,0.64,4339,246.6,"(-0.00354, 5.905]"
Kepler-834b,0.639,0.18,13.32,0.098,transit,Not Specified,2000,0.7,4554,[63],2000,0.639,0.18,0.7,4554,360,"(-0.00354, 5.905]"
Kepler-835b,0.639,0.249,11.42,0.098,transit,Not Specified,6560,1.08,5954,[63],6560,0.639,0.249,1.08,5954,1633.44,"(-0.00354, 5.905]"
Kepler-836b,0.639,0.244,11.36,0.098,transit,Not Specified,3270,1.03,5895,[63],3270,0.639,0.244,1.03,5895,797.88,"(-0.00354, 5.905]"
Kepler-837b,0.639,0.228,16.56,0.098,transit,Not Specified,2760,0.85,5403,[63],2760,0.639,0.228,0.85,5403,629.28,"(-0.00354, 5.905]"
Kepler-838b,0.639,0.244,15.75,0.098,transit,Not Specified,3900,0.98,5770,[63],3900,0.639,0.244,0.98,5770,951.6,"(-0.00354, 5.905]"
Kepler-839b,0.639,0.229,37.81,0.098,transit,Not Specified,2720,1.22,6058,[63],2720,0.639,0.229,1.22,6058,622.88,"(-0.00354, 5.905]"
Kepler-840b,0.639,1.523,2.5,0.098,transit,Not Specified,2540,1.04,5920,[63],2540,0.639,1.523,1.04,5920,3868.42,"(-0.00354, 5.905]"
Kepler-841b,0.639,0.467,124.42,0.098,transit,Not Specified,3430,0.85,5324,[63],3430,0.639,0.467,0.85,5324,1601.81,"(-0.00354, 5.905]"
Kepler-842b,0.639,0.143,1.22,0.098,transit,Not Specified,1800,0.78,4848,[63],1800,0.639,0.143,0.78,4848,257.4,"(-0.00354, 5.905]"
Kepler-843b,0.639,0.231,2.05,0.098,transit,Not Specified,4070,1.02,5830,[63],4070,0.639,0.231,1.02,5830,940.17,"(-0.00354, 5.905]"
Kepler-844b,0.639,0.15,2.61,0.098,transit,Not Specified,1290,0.59,4128,[63],1290,0.639,0.15,0.59,4128,193.5,"(-0.00354, 5.905]"
Kepler-845b,0.639,0.182,0.93,0.098,transit,Not Specified,1540,0.79,4913,[63],1540,0.639,0.182,0.79,4913,280.28,"(-0.00354, 5.905]"
Kepler-846b,0.639,0.221,19.81,0.098,transit,Not Specified,4020,0.94,5579,[63],4020,0.639,0.221,0.94,5579,888.42,"(-0.00354, 5.905]"
Kepler-847b,0.639,0.105,2.34,0.098,transit,Not Specified,1730,0.83,4940,[63],1730,0.639,0.105,0.83,4940,181.65,"(-0.00354, 5.905]"
Kepler-848b,0.639,0.152,6.91,0.098,transit,Not Specified,2600,1.01,5695,[63],2600,0.639,0.152,1.01,5695,395.2,"(-0.00354, 5.905]"
Kepler-849b,0.639,0.637,394.62,0.098,transit,Not Specified,2440,1.23,6059,[63],2440,0.639,0.637,1.23,6059,1554.28,"(-0.00354, 5.905]"
Kepler-850b,0.639,0.159,7.19,0.098,transit,Not Specified,5010,1.06,5932,[63],5010,0.639,0.159,1.06,5932,796.59,"(-0.00354, 5.905]"
Kepler-851b,0.639,0.15,8.51,0.098,transit,Not Specified,2830,0.89,5455,[63],2830,0.639,0.15,0.89,5455,424.5,"(-0.00354, 5.905]"
Kepler-852b,0.639,0.227,44.93,0.098,transit,Not Specified,2790,1.19,6100,[63],2790,0.639,0.227,1.19,6100,633.33,"(-0.00354, 5.905]"
Kepler-853b,0.639,0.151,7.17,0.098,transit,Not Specified,2000,1.3,6350,[63],2000,0.639,0.151,1.3,6350,302,"(-0.00354, 5.905]"
Kepler-854b,0.639,1.492,2.14,0.098,transit,Not Specified,2420,1.17,6179,[63],2420,0.639,1.492,1.17,6179,3610.64,"(-0.00354, 5.905]"
Kepler-855b,0.639,0.745,7.89,0.098,transit,Not Specified,3400,1.03,5835,[63],3400,0.639,0.745,1.03,5835,2533,"(-0.00354, 5.905]"
Kepler-856b,0.639,0.83,8.03,0.098,transit,Not Specified,3830,0.96,5535,[63],3830,0.639,0.83,0.96,5535,3178.9,"(-0.00354, 5.905]"
Kepler-857b,0.639,0.607,85.35,0.098,transit,Not Specified,3390,0.99,5773,[63],3390,0.639,0.607,0.99,5773,2057.73,"(-0.00354, 5.905]"
Kepler-858b,0.639,0.434,76.14,0.098,transit,Not Specified,970,0.96,5653,[63],970,0.639,0.434,0.96,5653,420.98,"(-0.00354, 5.905]"
Kepler-859b,0.639,0.276,20.38,0.098,transit,Not Specified,2980,0.81,5020,[63],2980,0.639,0.276,0.81,5020,822.48,"(-0.00354, 5.905]"
Kepler-860b,0.639,0.289,5.1,0.098,transit,Not Specified,4220,1.04,5836,[63],4220,0.639,0.289,1.04,5836,1219.58,"(-0.00354, 5.905]"
Kepler-861b,0.639,0.203,3.95,0.098,transit,Not Specified,2630,0.82,5047,[63],2630,0.639,0.203,0.82,5047,533.89,"(-0.00354, 5.905]"
Kepler-862b,0.639,0.197,3.15,0.098,transit,Not Specified,2630,0.88,5333,[63],2630,0.639,0.197,0.88,5333,518.11,"(-0.00354, 5.905]"
Kepler-863b,0.639,0.259,15.59,0.098,transit,Not Specified,3730,0.96,5678,[63],3730,0.639,0.259,0.96,5678,966.07,"(-0.00354, 5.905]"
Kepler-864b,0.639,0.214,5.83,0.098,transit,Not Specified,5130,1,5754,[63],5130,0.639,0.214,1,5754,1097.82,"(-0.00354, 5.905]"
Kepler-865b,0.639,0.222,14.16,0.098,transit,Not Specified,2170,0.93,5570,[63],2170,0.639,0.222,0.93,5570,481.74,"(-0.00354, 5.905]"
Kepler-866b,0.639,0.145,2.62,0.098,transit,Not Specified,2300,0.75,4751,[63],2300,0.639,0.145,0.75,4751,333.5,"(-0.00354, 5.905]"
Kepler-867b,0.639,0.414,150.24,0.098,transit,Not Specified,2690,0.92,5541,[63],2690,0.639,0.414,0.92,5541,1113.66,"(-0.00354, 5.905]"
Kepler-868b,0.639,0.183,5.03,0.098,transit,Not Specified,4140,0.93,5614,[63],4140,0.639,0.183,0.93,5614,757.62,"(-0.00354, 5.905]"
Kepler-869b,0.639,0.322,40.43,0.098,transit,Not Specified,3120,0.97,5664,[63],3120,0.639,0.322,0.97,5664,1004.64,"(-0.00354, 5.905]"
Kepler-870b,0.639,0.248,21.36,0.098,transit,Not Specified,4010,1.01,5857,[63],4010,0.639,0.248,1.01,5857,994.48,"(-0.00354, 5.905]"
Kepler-871b,0.639,0.334,22.05,0.098,transit,Not Specified,5530,1.11,5993,[63],5530,0.639,0.334,1.11,5993,1847.02,"(-0.00354, 5.905]"
Kepler-872b,0.639,0.178,2.58,0.098,transit,Not Specified,3630,1.05,5902,[63],3630,0.639,0.178,1.05,5902,646.14,"(-0.00354, 5.905]"
Kepler-873b,0.639,0.335,20.55,0.098,transit,Not Specified,4560,1.18,6163,[63],4560,0.639,0.335,1.18,6163,1527.6,"(-0.00354, 5.905]"
Kepler-874b,0.639,0.352,40.07,0.098,transit,Not Specified,3500,1.09,6020,[63],3500,0.639,0.352,1.09,6020,1232,"(-0.00354, 5.905]"
Kepler-875b,0.639,0.259,27.51,0.098,transit,Not Specified,4060,1.06,5958,[63],4060,0.639,0.259,1.06,5958,1051.54,"(-0.00354, 5.905]"
Kepler-876b,0.639,0.128,5.14,0.098,transit,Not Specified,2400,0.81,5060,[63],2400,0.639,0.128,0.81,5060,307.2,"(-0.00354, 5.905]"
Kepler-877b,0.639,0.189,18.46,0.098,transit,Not Specified,1870,0.85,5261,[63],1870,0.639,0.189,0.85,5261,353.43,"(-0.00354, 5.905]"
Kepler-878b,0.639,0.172,25.94,0.098,transit,Not Specified,1850,0.81,5044,[63],1850,0.639,0.172,0.81,5044,318.2,"(-0.00354, 5.905]"
Kepler-879b,0.639,0.229,33.39,0.098,transit,Not Specified,2520,1.02,5792,[63],2520,0.639,0.229,1.02,5792,577.08,"(-0.00354, 5.905]"
Kepler-880b,0.639,0.237,7.71,0.098,transit,Not Specified,2200,1.46,6761,[63],2200,0.639,0.237,1.46,6761,521.4,"(-0.00354, 5.905]"
Kepler-881b,0.639,0.159,4.44,0.098,transit,Not Specified,4450,1.06,5961,[63],4450,0.639,0.159,1.06,5961,707.55,"(-0.00354, 5.905]"
Kepler-882b,0.639,0.11,3.99,0.098,transit,Not Specified,1710,0.9,5476,[63],1710,0.639,0.11,0.9,5476,188.1,"(-0.00354, 5.905]"
Kepler-883b,0.639,0.159,12.98,0.098,transit,Not Specified,1790,1.06,6116,[63],1790,0.639,0.159,1.06,6116,284.61,"(-0.00354, 5.905]"
Kepler-884b,0.639,0.11,5.7,0.098,transit,Not Specified,1400,1,5715,[63],1400,0.639,0.11,1,5715,154,"(-0.00354, 5.905]"
Kepler-885b,0.639,0.223,18.11,0.098,transit,Not Specified,2060,1.21,6187,[63],2060,0.639,0.223,1.21,6187,459.38,"(-0.00354, 5.905]"
Kepler-886b,0.639,0.136,6.24,0.098,transit,Not Specified,2800,1.1,6098,[63],2800,0.639,0.136,1.1,6098,380.8,"(-0.00354, 5.905]"
Kepler-887b,0.639,0.164,20.42,0.098,transit,Not Specified,2710,1.19,6194,[63],2710,0.639,0.164,1.19,6194,444.44,"(-0.00354, 5.905]"
Kepler-887c,0.639,0.101,7.64,0.098,transit,Not Specified,2710,1.19,6194,[63],2710,0.639,0.101,1.19,6194,273.71,"(-0.00354, 5.905]"
Kepler-888b,0.639,0.157,70.7,0.098,transit,Not Specified,1350,0.97,5875,[63],1350,0.639,0.157,0.97,5875,211.95,"(-0.00354, 5.905]"
Kepler-889b,0.639,0.097,3.74,0.098,transit,Not Specified,1670,1.14,5961,[63],1670,0.639,0.097,1.14,5961,161.99,"(-0.00354, 5.905]"
Kepler-890b,0.639,0.793,52.76,0.098,transit,Not Specified,4520,1.09,5954,[63],4520,0.639,0.793,1.09,5954,3584.36,"(-0.00354, 5.905]"
Kepler-891b,0.639,0.572,53.45,0.098,transit,Not Specified,4470,1.06,5887,[63],4470,0.639,0.572,1.06,5887,2556.84,"(-0.00354, 5.905]"
Kepler-892b,0.639,0.251,13.75,0.098,transit,Not Specified,2100,0.75,4747,[63],2100,0.639,0.251,0.75,4747,527.1,"(-0.00354, 5.905]"
Kepler-893b,0.639,0.27,6.34,0.098,transit,Not Specified,3970,1,5820,[63],3970,0.639,0.27,1,5820,1071.9,"(-0.00354, 5.905]"
Kepler-894b,0.639,0.248,9.8,0.098,transit,Not Specified,3600,0.87,5603,[63],3600,0.639,0.248,0.87,5603,892.8,"(-0.00354, 5.905]"
Kepler-895b,0.639,0.137,2.81,0.098,transit,Not Specified,1680,0.65,4315,[63],1680,0.639,0.137,0.65,4315,230.16,"(-0.00354, 5.905]"
Kepler-896b,0.639,0.226,144.55,0.098,transit,Not Specified,2920,0.84,5262,[63],2920,0.639,0.226,0.84,5262,659.92,"(-0.00354, 5.905]"
Kepler-897b,0.639,0.213,8.05,0.098,transit,Not Specified,3740,1.03,5839,[63],3740,0.639,0.213,1.03,5839,796.62,"(-0.00354, 5.905]"
Kepler-898b,0.639,0.133,5.87,0.098,transit,Not Specified,1560,0.65,4223,[63],1560,0.639,0.133,0.65,4223,207.48,"(-0.00354, 5.905]"
Kepler-899b,0.639,0.239,19.18,0.098,transit,Not Specified,3390,0.93,5595,[63],3390,0.639,0.239,0.93,5595,810.21,"(-0.00354, 5.905]"
Kepler-900b,0.639,0.186,6.99,0.098,transit,Not Specified,1650,0.78,4836,[63],1650,0.639,0.186,0.78,4836,306.9,"(-0.00354, 5.905]"
Kepler-901b,0.639,0.122,3.52,0.098,transit,Not Specified,790,0.59,4184,[63],790,0.639,0.122,0.59,4184,96.38,"(-0.00354, 5.905]"
Kepler-902b,0.639,0.227,40.11,0.098,transit,Not Specified,2950,0.95,5647,[63],2950,0.639,0.227,0.95,5647,669.65,"(-0.00354, 5.905]"
Kepler-903b,0.639,0.179,10.35,0.098,transit,Not Specified,2700,0.98,5682,[63],2700,0.639,0.179,0.98,5682,483.3,"(-0.00354, 5.905]"
Kepler-903c,0.639,0.226,62.92,0.098,transit,Not Specified,2700,0.98,5682,[63],2700,0.639,0.226,0.98,5682,610.2,"(-0.00354, 5.905]"
Kepler-904b,0.639,0.158,3.02,0.098,transit,Not Specified,3750,1.16,6160,[63],3750,0.639,0.158,1.16,6160,592.5,"(-0.00354, 5.905]"
Kepler-905b,0.639,0.126,5.08,0.098,transit,Not Specified,1700,0.95,5461,[63],1700,0.639,0.126,0.95,5461,214.2,"(-0.00354, 5.905]"
Kepler-906b,0.639,0.188,41.7,0.098,transit,Not Specified,2470,1.06,6035,[63],2470,0.639,0.188,1.06,6035,464.36,"(-0.00354, 5.905]"
Kepler-907b,0.639,0.107,15.87,0.098,transit,Not Specified,1150,1.08,6106,[63],1150,0.639,0.107,1.08,6106,123.05,"(-0.00354, 5.905]"
Kepler-908b,0.639,0.109,1.34,0.098,transit,Not Specified,820,1.11,5973,[63],820,0.639,0.109,1.11,5973,89.38,"(-0.00354, 5.905]"
Kepler-909b,0.639,0.131,13.93,0.098,transit,Not Specified,1040,1.17,6154,[63],1040,0.639,0.131,1.17,6154,136.24,"(-0.00354, 5.905]"
Kepler-910b,0.639,0.073,2.36,0.098,transit,Not Specified,1310,1.26,6230,[63],1310,0.639,0.073,1.26,6230,95.63,"(-0.00354, 5.905]"
Kepler-911b,0.639,0.232,20.31,0.098,transit,Not Specified,1850,1.34,6112,[63],1850,0.639,0.232,1.34,6112,429.2,"(-0.00354, 5.905]"
Kepler-912b,0.639,0.25,2.53,0.098,transit,Not Specified,4130,1.07,5998,[63],4130,0.639,0.25,1.07,5998,1032.5,"(-0.00354, 5.905]"
Kepler-913b,0.639,0.184,10.3,0.098,transit,Not Specified,1950,0.63,4687,[63],1950,0.639,0.184,0.63,4687,358.8,"(-0.00354, 5.905]"
Kepler-914b,0.639,0.123,4.41,0.098,transit,Not Specified,2210,1.1,5877,[63],2210,0.639,0.123,1.1,5877,271.83,"(-0.00354, 5.905]"
Kepler-915b,0.639,0.134,4.59,0.098,transit,Not Specified,2630,1.21,6173,[63],2630,0.639,0.134,1.21,6173,352.42,"(-0.00354, 5.905]"
Kepler-916b,0.639,0.157,32.3,0.098,transit,Not Specified,2510,0.85,5248,[63],2510,0.639,0.157,0.85,5248,394.07,"(-0.00354, 5.905]"
Kepler-917b,0.639,0.17,2.97,0.098,transit,Not Specified,3350,0.8,5418,[63],3350,0.639,0.17,0.8,5418,569.5,"(-0.00354, 5.905]"
Kepler-918b,0.639,0.155,4.85,0.098,transit,Not Specified,4060,1.11,6028,[63],4060,0.639,0.155,1.11,6028,629.3,"(-0.00354, 5.905]"
Kepler-919b,0.639,0.201,11.05,0.098,transit,Not Specified,3980,1.15,6113,[63],3980,0.639,0.201,1.15,6113,799.98,"(-0.00354, 5.905]"
Kepler-920b,0.639,0.216,6.53,0.098,transit,Not Specified,3020,0.89,5403,[63],3020,0.639,0.216,0.89,5403,652.32,"(-0.00354, 5.905]"
Kepler-920c,0.639,0.339,100.83,0.098,transit,Not Specified,3020,0.89,5403,[63],3020,0.639,0.339,0.89,5403,1023.78,"(-0.00354, 5.905]"
Kepler-921b,0.639,0.256,51.3,0.098,transit,Not Specified,2760,0.93,5663,[63],2760,0.639,0.256,0.93,5663,706.56,"(-0.00354, 5.905]"
Kepler-922b,0.639,0.127,0.94,0.098,transit,Not Specified,1820,0.95,5671,[63],1820,0.639,0.127,0.95,5671,231.14,"(-0.00354, 5.905]"
Kepler-923b,0.639,0.123,6.93,0.098,transit,Not Specified,3150,1.11,5988,[63],3150,0.639,0.123,1.11,5988,387.45,"(-0.00354, 5.905]"
Kepler-924b,0.639,0.274,61.04,0.098,transit,Not Specified,3250,1.14,6167,[63],3250,0.639,0.274,1.14,6167,890.5,"(-0.00354, 5.905]"
Kepler-925b,0.639,0.209,33.87,0.098,transit,Not Specified,2030,0.77,4673,[63],2030,0.639,0.209,0.77,4673,424.27,"(-0.00354, 5.905]"
Kepler-926b,0.639,0.206,52.07,0.098,transit,Not Specified,2510,1.01,5806,[63],2510,0.639,0.206,1.01,5806,517.06,"(-0.00354, 5.905]"
Kepler-927b,0.639,0.153,9.11,0.098,transit,Not Specified,2870,0.99,5743,[63],2870,0.639,0.153,0.99,5743,439.11,"(-0.00354, 5.905]"
Kepler-928b,0.639,0.142,3.93,0.098,transit,Not Specified,1740,0.73,4700,[63],1740,0.639,0.142,0.73,4700,247.08,"(-0.00354, 5.905]"
Kepler-929b,0.639,0.099,0.92,0.098,transit,Not Specified,2700,1.01,5869,[63],2700,0.639,0.099,1.01,5869,267.3,"(-0.00354, 5.905]"
Kepler-930b,0.639,0.19,71.45,0.098,transit,Not Specified,2950,1.25,6335,[63],2950,0.639,0.19,1.25,6335,560.5,"(-0.00354, 5.905]"
Kepler-931b,0.639,0.119,8.04,0.098,transit,Not Specified,1600,0.86,5241,[63],1600,0.639,0.119,0.86,5241,190.4,"(-0.00354, 5.905]"
Kepler-932b,0.639,0.122,1.92,0.098,transit,Not Specified,1560,0.87,5331,[63],1560,0.639,0.122,0.87,5331,190.32,"(-0.00354, 5.905]"
Kepler-933b,0.639,0.219,14.2,0.098,transit,Not Specified,3010,0.87,5346,[63],3010,0.639,0.219,0.87,5346,659.19,"(-0.00354, 5.905]"
Kepler-934b,0.639,0.186,55.67,0.098,transit,Not Specified,1970,0.81,5001,[63],1970,0.639,0.186,0.81,5001,366.42,"(-0.00354, 5.905]"
Kepler-935b,0.639,0.12,4.88,0.098,transit,Not Specified,1570,0.78,4830,[63],1570,0.639,0.12,0.78,4830,188.4,"(-0.00354, 5.905]"
Kepler-936b,0.639,0.129,10.56,0.098,transit,Not Specified,2240,0.92,5482,[63],2240,0.639,0.129,0.92,5482,288.96,"(-0.00354, 5.905]"
Kepler-937b,0.639,0.332,67.67,0.098,transit,Not Specified,4830,1.15,6095,[63],4830,0.639,0.332,1.15,6095,1603.56,"(-0.00354, 5.905]"
Kepler-937c,0.639,0.238,153.34,0.098,transit,Not Specified,4830,1.15,6095,[63],4830,0.639,0.238,1.15,6095,1149.54,"(-0.00354, 5.905]"
Kepler-938b,0.639,0.198,52.63,0.098,transit,Not Specified,2810,0.92,5533,[63],2810,0.639,0.198,0.92,5533,556.38,"(-0.00354, 5.905]"
Kepler-939b,0.639,0.156,14.88,0.098,transit,Not Specified,3360,0.88,5471,[63],3360,0.639,0.156,0.88,5471,524.16,"(-0.00354, 5.905]"
Kepler-940b,0.639,0.298,59.62,0.098,transit,Not Specified,4300,0.97,5769,[63],4300,0.639,0.298,0.97,5769,1281.4,"(-0.00354, 5.905]"
Kepler-941b,0.639,0.275,17.42,0.098,transit,Not Specified,3600,0.89,5539,[63],3600,0.639,0.275,0.89,5539,990,"(-0.00354, 5.905]"
Kepler-942b,0.639,0.19,44.96,0.098,transit,Not Specified,710,0.81,4861,[63],710,0.639,0.19,0.81,4861,134.9,"(-0.00354, 5.905]"
Kepler-943b,0.639,0.529,49.77,0.098,transit,Not Specified,4040,0.93,5612,[63],4040,0.639,0.529,0.93,5612,2137.16,"(-0.00354, 5.905]"
Kepler-944b,0.639,0.235,43.32,0.098,transit,Not Specified,3380,0.86,5409,[63],3380,0.639,0.235,0.86,5409,794.3,"(-0.00354, 5.905]"
Kepler-945b,0.639,0.235,31,0.098,transit,Not Specified,5030,0.97,5718,[63],5030,0.639,0.235,0.97,5718,1182.05,"(-0.00354, 5.905]"
Kepler-946b,0.639,0.172,11.79,0.098,transit,Not Specified,2990,0.94,5665,[63],2990,0.639,0.172,0.94,5665,514.28,"(-0.00354, 5.905]"
Kepler-947b,0.639,0.203,26.96,0.098,transit,Not Specified,3870,0.9,5508,[63],3870,0.639,0.203,0.9,5508,785.61,"(-0.00354, 5.905]"
Kepler-948b,0.639,0.165,7.77,0.098,transit,Not Specified,2880,0.96,5679,[63],2880,0.639,0.165,0.96,5679,475.2,"(-0.00354, 5.905]"
Kepler-949b,0.639,0.26,8.69,0.098,transit,Not Specified,1870,0.89,5403,[63],1870,0.639,0.26,0.89,5403,486.2,"(-0.00354, 5.905]"
Kepler-950b,0.639,0.801,98.72,0.098,transit,Not Specified,4860,1.02,5857,[63],4860,0.639,0.801,1.02,5857,3892.86,"(-0.00354, 5.905]"
Kepler-951b,0.639,0.499,71.53,0.098,transit,Not Specified,1330,0.77,4834,[63],1330,0.639,0.499,0.77,4834,663.67,"(-0.00354, 5.905]"
Kepler-952b,0.639,0.682,130.35,0.098,transit,Not Specified,3810,1,5730,[63],3810,0.639,0.682,1,5730,2598.42,"(-0.00354, 5.905]"
Kepler-953b,0.639,0.376,88.41,0.098,transit,Not Specified,780,0.95,5416,[63],780,0.639,0.376,0.95,5416,293.28,"(-0.00354, 5.905]"
Kepler-953c,0.639,0.106,9.11,0.098,transit,Not Specified,780,0.95,5416,[63],780,0.639,0.106,0.95,5416,82.68,"(-0.00354, 5.905]"
Kepler-954b,0.639,0.207,16.78,0.098,transit,Not Specified,730,0.82,4990,[63],730,0.639,0.207,0.82,4990,151.11,"(-0.00354, 5.905]"
Kepler-955b,0.639,0.279,14.53,0.098,transit,Not Specified,2080,0.89,5350,[63],2080,0.639,0.279,0.89,5350,580.32,"(-0.00354, 5.905]"
Kepler-956b,0.639,0.268,5.25,0.098,transit,Not Specified,2060,1.1,6040,[63],2060,0.639,0.268,1.1,6040,552.08,"(-0.00354, 5.905]"
Kepler-957b,0.639,0.491,5.91,0.098,transit,Not Specified,2440,0.81,4963,[63],2440,0.639,0.491,0.81,4963,1198.04,"(-0.00354, 5.905]"
Kepler-958b,0.639,0.184,9.77,0.098,transit,Not Specified,1520,0.91,5421,[63],1520,0.639,0.184,0.91,5421,279.68,"(-0.00354, 5.905]"
Kepler-959b,0.639,0.391,14.8,0.098,transit,Not Specified,3270,1.6,7005,[63],3270,0.639,0.391,1.6,7005,1278.57,"(-0.00354, 5.905]"
Kepler-960b,0.639,0.204,3.13,0.098,transit,Not Specified,970,0.77,4755,[63],970,0.639,0.204,0.77,4755,197.88,"(-0.00354, 5.905]"
Kepler-961b,0.639,0.227,16.88,0.098,transit,Not Specified,1980,0.96,5582,[63],1980,0.639,0.227,0.96,5582,449.46,"(-0.00354, 5.905]"
Kepler-962b,0.639,0.176,12.06,0.098,transit,Not Specified,1430,0.93,5478,[63],1430,0.639,0.176,0.93,5478,251.68,"(-0.00354, 5.905]"
Kepler-963b,0.639,0.237,9.98,0.098,transit,Not Specified,2560,0.91,5461,[63],2560,0.639,0.237,0.91,5461,606.72,"(-0.00354, 5.905]"
