Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,distance (clean),mass (clean),radius (clean),star mass (clean),star temp (clean),Distance_Radius_Interaction,star_mass_bin
BD-17 63 b,5.1,0.213,655.6,1.34,radial vel.,2008,112.5,0.74,4714,Proper name Finlay,112.5,5.1,0.213,0.74,4714,23.9625,"(-0.00354, 5.905]"
Beta Pictoris b,11,1.65,7665,9.1,imaging,2008,64.4,1.76,7099,,64.4,11,1.65,1.76,7099,106.26,"(-0.00354, 5.905]"
Chi Virginis b,11.09,0.213,835.48,2.14,radial vel.,2009,329.4,2.17,4445,,329.4,11.09,0.213,2.17,4445,70.1622,"(-0.00354, 5.905]"
CoRoT-1b,1.03,1.49,1.51,0.02752,transit,2008,2627,0.95,5950,,2627,1.03,1.49,0.95,5950,3914.23,"(-0.00354, 5.905]"
CoRoT-2b,3.47,1.466,1.74,0.02798,transit,2008,652.3,0.96,5625,,652.3,3.47,1.466,0.96,5625,956.2718,"(-0.00354, 5.905]"
CoRoT-3b,21.66,1.01,4.26,0.05783,transit,2008,2218,1.37,6740,,2218,21.66,1.01,1.37,6740,2240.18,"(-0.00354, 5.905]"
CoRoT-4b,0.72,1.19,9.2,0.09,transit,2008,2419,1.16,6190,,2419,0.72,1.19,1.16,6190,2878.61,"(-0.00354, 5.905]"
CoRoT-5b,0.467,1.388,4.04,0.04947,transit,2009,2951,1,6100,,2951,0.467,1.388,1,6100,4095.988,"(-0.00354, 5.905]"
CoRoT-6b,2.96,1.166,8.89,0.0855,transit,2009,2144,1.05,6090,,2144,2.96,1.166,1.05,6090,2499.904,"(-0.00354, 5.905]"
CoRoT-7b,0.01,0.15,0.85,0.017016,transit,2009,524,0.82,5275,,524,0.01,0.15,0.82,5275,78.6,"(-0.00354, 5.905]"
CoRoT-7c,0.02643,0.213,3.7,0.046,radial vel.,2009,524,0.82,5275,,524,0.02643,0.213,0.82,5275,111.612,"(-0.00354, 5.905]"
CoRoT-9b,0.84,1.066,95.27,0.4021,transit,2009,1363,0.96,5625,,1363,0.84,1.066,0.96,5625,1452.958,"(-0.00354, 5.905]"
DP Leonis b,6.28,0.213,10220,8.19,timing,2009,995,0.69,13500,,995,6.28,0.213,0.69,13500,211.935,"(-0.00354, 5.905]"
Epsilon Eridani b,1.55,0.213,2502,3.39,radial vel.,2000,10.5,0.83,5136,Proper name Ægir,10.5,1.55,0.213,0.83,5136,2.2365,"(-0.00354, 5.905]"
Epsilon Reticuli b,1.56,0.213,428.1,1.271,radial vel.,2000,59.6,1.23,4846,,59.6,1.56,0.213,1.23,4846,12.6948,"(-0.00354, 5.905]"
Epsilon Tauri b,7.6,0.213,594.9,1.93,radial vel.,2006,160.6,2.7,4901,Proper name Amateru,160.6,7.6,0.213,2.7,4901,34.2078,"(-0.00354, 5.905]"
Eta2 Hydri b,6.54,0.213,711,1.93,radial vel.,2005,222,1.91,4970,,222,6.54,0.213,1.91,4970,47.286,"(-0.00354, 5.905]"
Gamma Leonis b,8.78,0.213,428.5,1.19,radial vel.,2009,125.6,1.23,4330,,125.6,8.78,0.213,1.23,4330,26.7528,"(-0.00354, 5.905]"
Gliese 176 b,0.026,0.213,8.78,0.066,radial vel.,2008,30.9,0.45,3679,,30.9,0.026,0.213,0.45,3679,6.5817,"(-0.00354, 5.905]"
Gliese 179 b,0.82,0.213,2288,2.41,radial vel.,2009,40.3,0.36,3370,,40.3,0.82,0.213,0.36,3370,8.5839,"(-0.00354, 5.905]"
Gliese 317 b,2.5,0.213,692,1.15,radial vel.,2007,49.2,0.42,3510,,49.2,2.5,0.213,0.42,3510,10.4796,"(-0.00354, 5.905]"
Gliese 436 b,0.07,0.372,2.64,0.0291,radial vel.,2004,31.8,0.47,3479,,31.8,0.07,0.372,0.47,3479,11.8296,"(-0.00354, 5.905]"
Gliese 581 b,0.0497,0.213,5.37,0.04061,radial vel.,2005,20.6,0.31,3660,,20.6,0.0497,0.213,0.31,3660,4.3878,"(-0.00354, 5.905]"
Gliese 581 c,0.0173,0.213,12.91,0.0721,radial vel.,2007,20.6,0.31,3660,,20.6,0.0173,0.213,0.31,3660,4.3878,"(-0.00354, 5.905]"
Gliese 581 e,0.0053,0.213,3.15,0.02815,radial vel.,2009,20.6,0.31,3660,,20.6,0.0053,0.213,0.31,3660,4.3878,"(-0.00354, 5.905]"
Gliese 649 b,0.328,0.213,598.3,1.135,radial vel.,2009,33.9,0.54,3700,,33.9,0.328,0.213,0.54,3700,7.2207,"(-0.00354, 5.905]"
Gliese 667 Cb,0.018,0.213,7.2,0.0505,radial vel.,2009,22.2,0.33,3350,[6],22.2,0.018,0.213,0.33,3350,4.7286,"(-0.00354, 5.905]"
Gliese 674 b,0.035,0.213,4.69,0.039,radial vel.,2007,14.8,0.35,3600,,14.8,0.035,0.213,0.35,3600,3.1524,"(-0.00354, 5.905]"
Gliese 777 b,1.54,0.213,2915.04,3.97,radial vel.,2003,52.2,0.99,5552,,52.2,1.54,0.213,0.99,5552,11.1186,"(-0.00354, 5.905]"
Gliese 777 c,0.06,0.213,17.11,0.1304,radial vel.,2005,52.2,0.99,5552,,52.2,0.06,0.213,0.99,5552,11.1186,"(-0.00354, 5.905]"
Gliese 832 b,0.68,0.213,3657,3.56,radial vel.,2008,16.2,0.45,3472,,16.2,0.68,0.213,0.45,3472,3.4506,"(-0.00354, 5.905]"
Gliese 849 b,1,0.213,1882,2.35,radial vel.,2006,28.7,0.65,3241,[7],28.7,1,0.213,0.65,3241,6.1131,"(-0.00354, 5.905]"
Gliese 876 c,0.7142,0.213,30.09,0.12959,radial vel.,2000,15.3,0.32,3129,,15.3,0.7142,0.213,0.32,3129,3.2589,"(-0.00354, 5.905]"
Gliese 876 d,0.021,0.213,1.94,0.020807,radial vel.,2005,15.3,0.32,3129,,15.3,0.021,0.213,0.32,3129,3.2589,"(-0.00354, 5.905]"
Gliese 1214 b,0.0197,0.254,1.58,0.01411,transit,2009,47.8,0.15,3026,"The most likely known candidate for being an ocean planet.[8] Nicknamed ""water world"".",47.8,0.0197,0.254,0.15,3026,12.1412,"(-0.00354, 5.905]"
Gliese 3021 b,3.37,0.213,133.71,0.49,radial vel.,2000,57.3,0.9,5540,,57.3,3.37,0.213,0.9,5540,12.2049,"(-0.00354, 5.905]"
HAT-P-1b,0.525,1.319,4.47,0.05561,transit,2006,520.9,1.15,5980,,520.9,0.525,1.319,1.15,5980,687.0671,"(-0.00354, 5.905]"
HAT-P-2b,8.7,0.951,5.63,0.06814,transit,2007,418.3,1.33,6380,Proper name Magor,418.3,8.7,0.951,1.33,6380,397.8033,"(-0.00354, 5.905]"
HAT-P-3b,0.65,0.94,2.9,0.03866,transit,2007,440.6,1.06,5185,Proper name Teberda,440.6,0.65,0.94,1.06,5185,414.164,"(-0.00354, 5.905]"
HAT-P-4b,0.671,1.274,3.06,0.04438,transit,2007,1024,0.56,5860,,1024,0.671,1.274,0.56,5860,1304.576,"(-0.00354, 5.905]"
HAT-P-5b,0.98,1.21,2.79,0.04073,transit,2007,998.1,1.04,5960,Proper name Kráľomoc,998.1,0.98,1.21,1.04,5960,1207.701,"(-0.00354, 5.905]"
HAT-P-6b,1.32,1.48,3.85,0.05239,transit,2007,905.1,1.79,6570,Proper name Nachtwacht,905.1,1.32,1.48,1.79,6570,1339.548,"(-0.00354, 5.905]"
HAT-P-7b,1.84,1.51,2.2,0.03676,transit,2008,1124,1.56,6389,Also known as Kepler-2b,1124,1.84,1.51,1.56,6389,1697.24,"(-0.00354, 5.905]"
HAT-P-8b,1.28,1.4,3.08,0.04496,transit,2008,694.2,1.27,6200,,694.2,1.28,1.4,1.27,6200,971.88,"(-0.00354, 5.905]"
HAT-P-9b,0.749,1.393,3.92,0.05287,transit,2008,1566,1.28,6350,Proper name Alef,1566,0.749,1.393,1.28,6350,2181.438,"(-0.00354, 5.905]"
HAT-P-11b,0.084,0.389,4.89,0.05254,transit,2008,123.3,0.81,4780,Also known as Kepler-3b,123.3,0.084,0.389,0.81,4780,47.9637,"(-0.00354, 5.905]"
HAT-P-12b,0.211,0.959,3.21,0.0384,transit,2009,464.8,0.73,4650,,464.8,0.211,0.959,0.73,4650,445.7432,"(-0.00354, 5.905]"
HAT-P-13b,0.851,1.272,2.92,0.04383,transit,2009,698,1.22,5653,,698,0.851,1.272,1.22,5653,887.856,"(-0.00354, 5.905]"
HAT-P-13c,14.28,0.213,446.27,1.258,radial vel.,2009,698,1.22,5653,,698,14.28,0.213,1.22,5653,148.674,"(-0.00354, 5.905]"
HD 142 b,1.25,0.213,349.7,1.02,radial vel.,2001,85.5,1.23,6245,,85.5,1.25,0.213,1.23,6245,18.2115,"(-0.00354, 5.905]"
HD 2039 b,6.29,0.213,1120,2.2,radial vel.,2002,280.2,1.23,5945,,280.2,6.29,0.213,1.23,5945,59.6826,"(-0.00354, 5.905]"
HD 2638 b,0.42,0.213,3.44,0.04,radial vel.,2005,179.6,0.77,5186,,179.6,0.42,0.213,0.77,5186,38.2548,"(-0.00354, 5.905]"
HD 4113 b,1.56,0.213,526.62,1.28,radial vel.,2007,136.7,0.99,5688,,136.7,1.56,0.213,0.99,5688,29.1171,"(-0.00354, 5.905]"
HD 4203 b,2.23,0.213,431.88,1.17,radial vel.,2001,266,1.25,5596,,266,2.23,0.213,1.25,5596,56.658,"(-0.00354, 5.905]"
HD 4208 b,0.81,0.213,832.97,1.662,radial vel.,2001,111.6,0.88,5717,Proper name Xolotlan,111.6,0.81,0.213,0.88,5717,23.7708,"(-0.00354, 5.905]"
HD 4308 b,0.05,0.213,15.56,0.12,radial vel.,2005,71.8,0.93,5686,,71.8,0.05,0.213,0.93,5686,15.2934,"(-0.00354, 5.905]"
HD 4313 b,1.927,0.213,356.21,1.157,radial vel.,2009,446.3,1.63,4943,,446.3,1.927,0.213,1.63,4943,95.0619,"(-0.00354, 5.905]"
HD 5319 b,1.556,0.213,637.1,1.57,radial vel.,2007,397.4,1.27,4871,,397.4,1.556,0.213,1.27,4871,84.6462,"(-0.00354, 5.905]"
